symbol,approved_name,hgnc_id,gene_group,gene_group_id,annotation_status
AHR,aryl hydrocarbon receptor,HGNC:348,Basic helix-loop-helix proteins,420,ANNOTATED_HGNC_GROUP
AHR,aryl hydrocarbon receptor,HGNC:348,PAS domain containing,2127,ANNOTATED_HGNC_GROUP
ARID1A,AT-rich interaction domain 1A,HGNC:11110,AT-rich interaction domain containing,418,ANNOTATED_HGNC_GROUP
ARID1A,AT-rich interaction domain 1A,HGNC:11110,Armadillo like helical domain containing,1492,ANNOTATED_HGNC_GROUP
ARID1A,AT-rich interaction domain 1A,HGNC:11110,BAF complex subunits,1604,ANNOTATED_HGNC_GROUP
ARRDC3,arrestin domain containing 3,HGNC:29263,Alpha arrestins,1311,ANNOTATED_HGNC_GROUP
ATL1,atlastin GTPase 1,HGNC:11231,Atlastins,1887,ANNOTATED_HGNC_GROUP
BAK1,BCL2 antagonist/killer 1,HGNC:949,BCL2 family,1057,ANNOTATED_HGNC_GROUP
BCL2L11,BCL2 like 11,HGNC:994,BCL2 homology region 3 (BH3) only,1277,ANNOTATED_HGNC_GROUP
BCORL1,BCL6 corepressor like 1,HGNC:25657,Ankyrin repeat domain containing,403,ANNOTATED_HGNC_GROUP
BPGM,bisphosphoglycerate mutase,HGNC:1093,Bisphosphoglycerate phosphatases,1082,ANNOTATED_HGNC_GROUP
BPGM,bisphosphoglycerate mutase,HGNC:1093,Phosphoglycerate mutases,1078,ANNOTATED_HGNC_GROUP
C19orf26,,,NOT_FOUND_IN_HGNC,NOT_FOUND_IN_HGNC,NOT_FOUND_IN_HGNC
C3orf72,,,NOT_FOUND_IN_HGNC,NOT_FOUND_IN_HGNC,NOT_FOUND_IN_HGNC
CBFA2T3,CBFA2/RUNX1 partner transcriptional co-repressor 3,HGNC:1537,A-kinase anchoring proteins,396,ANNOTATED_HGNC_GROUP
CBFA2T3,CBFA2/RUNX1 partner transcriptional co-repressor 3,HGNC:1537,Zinc fingers MYND-type,87,ANNOTATED_HGNC_GROUP
CBL,Cbl proto-oncogene,HGNC:1541,Ring finger proteins,58,ANNOTATED_HGNC_GROUP
CDKN1A,cyclin dependent kinase inhibitor 1A,HGNC:1784,Cyclin dependent kinase inhibitor 1 family,3920,ANNOTATED_HGNC_GROUP
CDKN1B,cyclin dependent kinase inhibitor 1B,HGNC:1785,Cyclin dependent kinase inhibitor 1 family,3920,ANNOTATED_HGNC_GROUP
CDKN1C,cyclin dependent kinase inhibitor 1C,HGNC:1786,Cyclin dependent kinase inhibitor 1 family,3920,ANNOTATED_HGNC_GROUP
CEBPA,CCAAT enhancer binding protein alpha,HGNC:1833,CCAAT/enhancer binding proteins,1165,ANNOTATED_HGNC_GROUP
CEBPB,CCAAT enhancer binding protein beta,HGNC:1834,CCAAT/enhancer binding proteins,1165,ANNOTATED_HGNC_GROUP
CEBPE,CCAAT enhancer binding protein epsilon,HGNC:1836,CCAAT/enhancer binding proteins,1165,ANNOTATED_HGNC_GROUP
CELF2,CUGBP Elav-like family member 2,HGNC:2550,RNA binding motif containing,725,ANNOTATED_HGNC_GROUP
CITED1,Cbp/p300 interacting transactivator with ED-rich tail 1,HGNC:1986,CBP/p300-interacting transactivator with ED-rich tail family,3811,ANNOTATED_HGNC_GROUP
CKS1B,CDC28 protein kinase regulatory subunit 1B,HGNC:19083,MicroRNA protein coding host genes,1691,ANNOTATED_HGNC_GROUP
CLDN6,claudin 6,HGNC:2048,Claudins,488,ANNOTATED_HGNC_GROUP
CNN1,calponin 1,HGNC:2155,Calponin family,3745,ANNOTATED_HGNC_GROUP
CNNM4,cyclin and CBS domain divalent metal cation transport mediator 4,HGNC:105,MicroRNA protein coding host genes,1691,ANNOTATED_HGNC_GROUP
CNNM4,cyclin and CBS domain divalent metal cation transport mediator 4,HGNC:105,"Solute carrier family 70, cyclin and CBS domain divalent metal cation transport mediators",1801,ANNOTATED_HGNC_GROUP
COL1A1,collagen type I alpha 1 chain,HGNC:2197,Fibrillar collagens,2247,ANNOTATED_HGNC_GROUP
COL2A1,collagen type II alpha 1 chain,HGNC:2200,Fibrillar collagens,2247,ANNOTATED_HGNC_GROUP
CSRNP1,cysteine and serine rich nuclear protein 1,HGNC:14300,UNANNOTATED,UNANNOTATED,UNANNOTATED_HGNC_GROUP
DLX2,distal-less homeobox 2,HGNC:2915,Distal-less homeobox family,3839,ANNOTATED_HGNC_GROUP
DUSP9,dual specificity phosphatase 9,HGNC:3076,MAP kinase phosphatases,895,ANNOTATED_HGNC_GROUP
EGR1,early growth response 1,HGNC:3238,Zinc fingers C2H2-type,28,ANNOTATED_HGNC_GROUP
ELMSAN1,,,NOT_FOUND_IN_HGNC,NOT_FOUND_IN_HGNC,NOT_FOUND_IN_HGNC
ETS2,"ETS proto-oncogene 2, transcription factor",HGNC:3489,ETS transcription factor family,534,ANNOTATED_HGNC_GROUP
FEV,"FEV transcription factor, ETS family member",HGNC:18562,ETS transcription factor family,534,ANNOTATED_HGNC_GROUP
FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit",HGNC:3797,Fos transcription factor family,1256,ANNOTATED_HGNC_GROUP
FOXA1,forkhead box A1,HGNC:5021,Forkhead boxes,508,ANNOTATED_HGNC_GROUP
FOXA3,forkhead box A3,HGNC:5023,Forkhead boxes,508,ANNOTATED_HGNC_GROUP
FOXF1,forkhead box F1,HGNC:3809,Forkhead boxes,508,ANNOTATED_HGNC_GROUP
FOXL2,forkhead box L2,HGNC:1092,Forkhead boxes,508,ANNOTATED_HGNC_GROUP
FOXO4,forkhead box O4,HGNC:7139,Forkhead boxes,508,ANNOTATED_HGNC_GROUP
GLB1L2,galactosidase beta 1 like 2,HGNC:25129,Galactosidases beta,1654,ANNOTATED_HGNC_GROUP
HES7,hes family bHLH transcription factor 7,HGNC:15977,Basic helix-loop-helix proteins,420,ANNOTATED_HGNC_GROUP
HK2,hexokinase 2,HGNC:4923,Hexokinase family,3429,ANNOTATED_HGNC_GROUP
HNF4A,hepatocyte nuclear factor 4 alpha,HGNC:5024,Hepatocyte nuclear factor 4 family,2085,ANNOTATED_HGNC_GROUP
HNF4A,hepatocyte nuclear factor 4 alpha,HGNC:5024,MicroRNA protein coding host genes,1691,ANNOTATED_HGNC_GROUP
