original_label	normalized_label	target_1	target_2	is_control
AAMP+ctrl	AAMP	AAMP	NA	False
AARS+ctrl	AARS	AARS	NA	False
AASDHPPT+ctrl	AASDHPPT	AASDHPPT	NA	False
AATF+ctrl	AATF	AATF	NA	False
ABCB10+ctrl	ABCB10	ABCB10	NA	False
ABCB7+ctrl	ABCB7	ABCB7	NA	False
ABCE1+ctrl	ABCE1	ABCE1	NA	False
ABCF1+ctrl	ABCF1	ABCF1	NA	False
ABT1+ctrl	ABT1	ABT1	NA	False
AC118549.1+ctrl	AC118549.1	AC118549.1	NA	False
ACD+ctrl	ACD	ACD	NA	False
ACSS2+ctrl	ACSS2	ACSS2	NA	False
ACTB+ctrl	ACTB	ACTB	NA	False
ACTL6A+ctrl	ACTL6A	ACTL6A	NA	False
ACTR10+ctrl	ACTR10	ACTR10	NA	False
ACTR2+ctrl	ACTR2	ACTR2	NA	False
ACTR5+ctrl	ACTR5	ACTR5	NA	False
ACTR6+ctrl	ACTR6	ACTR6	NA	False
ACTR8+ctrl	ACTR8	ACTR8	NA	False
ADAM10+ctrl	ADAM10	ADAM10	NA	False
ADAT3+ctrl	ADAT3	ADAT3	NA	False
ADRM1+ctrl	ADRM1	ADRM1	NA	False
AFG3L2+ctrl	AFG3L2	AFG3L2	NA	False
AGBL5+ctrl	AGBL5	AGBL5	NA	False
AHCTF1+ctrl	AHCTF1	AHCTF1	NA	False
AHCY+ctrl	AHCY	AHCY	NA	False
AKIRIN2+ctrl	AKIRIN2	AKIRIN2	NA	False
ALDOA+ctrl	ALDOA	ALDOA	NA	False
ALG1+ctrl	ALG1	ALG1	NA	False
ALG13+ctrl	ALG13	ALG13	NA	False
ALG14+ctrl	ALG14	ALG14	NA	False
ALG1L+ctrl	ALG1L	ALG1L	NA	False
ALG2+ctrl	ALG2	ALG2	NA	False
ALYREF+ctrl	ALYREF	ALYREF	NA	False
ANAPC1+ctrl	ANAPC1	ANAPC1	NA	False
ANAPC11+ctrl	ANAPC11	ANAPC11	NA	False
ANAPC13+ctrl	ANAPC13	ANAPC13	NA	False
ANAPC2+ctrl	ANAPC2	ANAPC2	NA	False
ANAPC4+ctrl	ANAPC4	ANAPC4	NA	False
ANAPC5+ctrl	ANAPC5	ANAPC5	NA	False
ANKLE2+ctrl	ANKLE2	ANKLE2	NA	False
ANKRD11+ctrl	ANKRD11	ANKRD11	NA	False
ANKRD17+ctrl	ANKRD17	ANKRD17	NA	False
ANKRD49+ctrl	ANKRD49	ANKRD49	NA	False
AP2M1+ctrl	AP2M1	AP2M1	NA	False
AP2S1+ctrl	AP2S1	AP2S1	NA	False
AQR+ctrl	AQR	AQR	NA	False
ARCN1+ctrl	ARCN1	ARCN1	NA	False
ARGLU1+ctrl	ARGLU1	ARGLU1	NA	False
ARHGAP6+ctrl	ARHGAP6	ARHGAP6	NA	False
ARIH1+ctrl	ARIH1	ARIH1	NA	False
ARL2+ctrl	ARL2	ARL2	NA	False
ARMC7+ctrl	ARMC7	ARMC7	NA	False
ARPC2+ctrl	ARPC2	ARPC2	NA	False
ARPC3+ctrl	ARPC3	ARPC3	NA	False
ARPC4+ctrl	ARPC4	ARPC4	NA	False
ASCC3+ctrl	ASCC3	ASCC3	NA	False
ATF4+ctrl	ATF4	ATF4	NA	False
ATF5+ctrl	ATF5	ATF5	NA	False
ATIC+ctrl	ATIC	ATIC	NA	False
ATL2+ctrl	ATL2	ATL2	NA	False
ATP11B+ctrl	ATP11B	ATP11B	NA	False
ATP1A1+ctrl	ATP1A1	ATP1A1	NA	False
ATP2A2+ctrl	ATP2A2	ATP2A2	NA	False
ATP5F1C+ctrl	ATP5F1C	ATP5F1C	NA	False
ATP5MF+ctrl	ATP5MF	ATP5MF	NA	False
ATP5PO+ctrl	ATP5PO	ATP5PO	NA	False
ATP6AP1+ctrl	ATP6AP1	ATP6AP1	NA	False
ATP6AP2+ctrl	ATP6AP2	ATP6AP2	NA	False
ATP6V0B+ctrl	ATP6V0B	ATP6V0B	NA	False
ATP6V0C+ctrl	ATP6V0C	ATP6V0C	NA	False
ATP6V0D1+ctrl	ATP6V0D1	ATP6V0D1	NA	False
ATP6V1A+ctrl	ATP6V1A	ATP6V1A	NA	False
ATP6V1B2+ctrl	ATP6V1B2	ATP6V1B2	NA	False
ATP6V1D+ctrl	ATP6V1D	ATP6V1D	NA	False
ATP6V1E1+ctrl	ATP6V1E1	ATP6V1E1	NA	False
ATP6V1G1+ctrl	ATP6V1G1	ATP6V1G1	NA	False
ATP6V1H+ctrl	ATP6V1H	ATP6V1H	NA	False
ATR+ctrl	ATR	ATR	NA	False
ATRIP+ctrl	ATRIP	ATRIP	NA	False
ATXN10+ctrl	ATXN10	ATXN10	NA	False
AURKA+ctrl	AURKA	AURKA	NA	False
AURKAIP1+ctrl	AURKAIP1	AURKAIP1	NA	False
BAG6+ctrl	BAG6	BAG6	NA	False
BANF1+ctrl	BANF1	BANF1	NA	False
BANP+ctrl	BANP	BANP	NA	False
BAP1+ctrl	BAP1	BAP1	NA	False
BCAR1+ctrl	BCAR1	BCAR1	NA	False
BCAS2+ctrl	BCAS2	BCAS2	NA	False
BCL2L1+ctrl	BCL2L1	BCL2L1	NA	False
BDP1+ctrl	BDP1	BDP1	NA	False
BET1+ctrl	BET1	BET1	NA	False
BGLAP+ctrl	BGLAP	BGLAP	NA	False
BMS1+ctrl	BMS1	BMS1	NA	False
BNIP1+ctrl	BNIP1	BNIP1	NA	False
BOD1L1+ctrl	BOD1L1	BOD1L1	NA	False
BOP1+ctrl	BOP1	BOP1	NA	False
BORA+ctrl	BORA	BORA	NA	False
BPTF+ctrl	BPTF	BPTF	NA	False
BRCA2+ctrl	BRCA2	BRCA2	NA	False
BRD2+ctrl	BRD2	BRD2	NA	False
BRD8+ctrl	BRD8	BRD8	NA	False
BRF1+ctrl	BRF1	BRF1	NA	False
BRF2+ctrl	BRF2	BRF2	NA	False
BRIX1+ctrl	BRIX1	BRIX1	NA	False
BRK1+ctrl	BRK1	BRK1	NA	False
BTAF1+ctrl	BTAF1	BTAF1	NA	False
BTF3+ctrl	BTF3	BTF3	NA	False
BUB1+ctrl	BUB1	BUB1	NA	False
BUB1B+ctrl	BUB1B	BUB1B	NA	False
BUB3+ctrl	BUB3	BUB3	NA	False
BUD13+ctrl	BUD13	BUD13	NA	False
BUD31+ctrl	BUD31	BUD31	NA	False
BYSL+ctrl	BYSL	BYSL	NA	False
C12orf45+ctrl	C12ORF45	C12ORF45	NA	False
C12orf60+ctrl	C12ORF60	C12ORF60	NA	False
C14orf178+ctrl	C14ORF178	C14ORF178	NA	False
C19orf25+ctrl	C19ORF25	C19ORF25	NA	False
C1D+ctrl	C1D	C1D	NA	False
C1QBP+ctrl	C1QBP	C1QBP	NA	False
C5orf30+ctrl	C5ORF30	C5ORF30	NA	False
C7orf26+ctrl	C7ORF26	C7ORF26	NA	False
C9orf16+ctrl	C9ORF16	C9ORF16	NA	False
C9orf78+ctrl	C9ORF78	C9ORF78	NA	False
CABIN1+ctrl	CABIN1	CABIN1	NA	False
CACTIN+ctrl	CACTIN	CACTIN	NA	False
CALR+ctrl	CALR	CALR	NA	False
CAMLG+ctrl	CAMLG	CAMLG	NA	False
CAPZB+ctrl	CAPZB	CAPZB	NA	False
CARS+ctrl	CARS	CARS	NA	False
CASC3+ctrl	CASC3	CASC3	NA	False
CASP8AP2+ctrl	CASP8AP2	CASP8AP2	NA	False
CAST+ctrl	CAST	CAST	NA	False
CBLL1+ctrl	CBLL1	CBLL1	NA	False
CCAR1+ctrl	CCAR1	CCAR1	NA	False
CCDC115+ctrl	CCDC115	CCDC115	NA	False
CCDC130+ctrl	CCDC130	CCDC130	NA	False
CCDC137+ctrl	CCDC137	CCDC137	NA	False
CCDC174+ctrl	CCDC174	CCDC174	NA	False
CCDC59+ctrl	CCDC59	CCDC59	NA	False
CCDC6+ctrl	CCDC6	CCDC6	NA	False
CCDC78+ctrl	CCDC78	CCDC78	NA	False
CCDC84+ctrl	CCDC84	CCDC84	NA	False
CCDC86+ctrl	CCDC86	CCDC86	NA	False
CCNC+ctrl	CCNC	CCNC	NA	False
CCNH+ctrl	CCNH	CCNH	NA	False
CCNK+ctrl	CCNK	CCNK	NA	False
CCNL1+ctrl	CCNL1	CCNL1	NA	False
CCNQ+ctrl	CCNQ	CCNQ	NA	False
CCT2+ctrl	CCT2	CCT2	NA	False
CCT3+ctrl	CCT3	CCT3	NA	False
CCT4+ctrl	CCT4	CCT4	NA	False
CCT5+ctrl	CCT5	CCT5	NA	False
CCT6A+ctrl	CCT6A	CCT6A	NA	False
CCT7+ctrl	CCT7	CCT7	NA	False
CCT8+ctrl	CCT8	CCT8	NA	False
CD2BP2+ctrl	CD2BP2	CD2BP2	NA	False
CD3EAP+ctrl	CD3EAP	CD3EAP	NA	False
CDAN1+ctrl	CDAN1	CDAN1	NA	False
CDC123+ctrl	CDC123	CDC123	NA	False
CDC16+ctrl	CDC16	CDC16	NA	False
CDC23+ctrl	CDC23	CDC23	NA	False
CDC26+ctrl	CDC26	CDC26	NA	False
CDC27+ctrl	CDC27	CDC27	NA	False
CDC40+ctrl	CDC40	CDC40	NA	False
CDC42+ctrl	CDC42	CDC42	NA	False
CDC45+ctrl	CDC45	CDC45	NA	False
CDC5L+ctrl	CDC5L	CDC5L	NA	False
CDC6+ctrl	CDC6	CDC6	NA	False
CDC7+ctrl	CDC7	CDC7	NA	False
CDC73+ctrl	CDC73	CDC73	NA	False
CDCA5+ctrl	CDCA5	CDCA5	NA	False
CDIPT+ctrl	CDIPT	CDIPT	NA	False
CDK1+ctrl	CDK1	CDK1	NA	False
CDK12+ctrl	CDK12	CDK12	NA	False
CDK2+ctrl	CDK2	CDK2	NA	False
CDK9+ctrl	CDK9	CDK9	NA	False
CDT1+ctrl	CDT1	CDT1	NA	False
CEBPZ+ctrl	CEBPZ	CEBPZ	NA	False
CENPC+ctrl	CENPC	CENPC	NA	False
CENPE+ctrl	CENPE	CENPE	NA	False
CENPH+ctrl	CENPH	CENPH	NA	False
CENPI+ctrl	CENPI	CENPI	NA	False
CENPJ+ctrl	CENPJ	CENPJ	NA	False
CENPK+ctrl	CENPK	CENPK	NA	False
CENPN+ctrl	CENPN	CENPN	NA	False
CENPP+ctrl	CENPP	CENPP	NA	False
CENPW+ctrl	CENPW	CENPW	NA	False
CEP192+ctrl	CEP192	CEP192	NA	False
CEP85+ctrl	CEP85	CEP85	NA	False
CFDP1+ctrl	CFDP1	CFDP1	NA	False
CFL1+ctrl	CFL1	CFL1	NA	False
CHAF1A+ctrl	CHAF1A	CHAF1A	NA	False
CHAF1B+ctrl	CHAF1B	CHAF1B	NA	False
CHCHD3+ctrl	CHCHD3	CHCHD3	NA	False
CHCHD4+ctrl	CHCHD4	CHCHD4	NA	False
CHD4+ctrl	CHD4	CHD4	NA	False
CHEK1+ctrl	CHEK1	CHEK1	NA	False
CHERP+ctrl	CHERP	CHERP	NA	False
CHMP1A+ctrl	CHMP1A	CHMP1A	NA	False
CHMP2A+ctrl	CHMP2A	CHMP2A	NA	False
CHMP3+ctrl	CHMP3	CHMP3	NA	False
CHMP5+ctrl	CHMP5	CHMP5	NA	False
CHMP6+ctrl	CHMP6	CHMP6	NA	False
CHMP7+ctrl	CHMP7	CHMP7	NA	False
CHORDC1+ctrl	CHORDC1	CHORDC1	NA	False
CHTF18+ctrl	CHTF18	CHTF18	NA	False
CIAO1+ctrl	CIAO1	CIAO1	NA	False
CIAPIN1+ctrl	CIAPIN1	CIAPIN1	NA	False
CINP+ctrl	CINP	CINP	NA	False
CKAP5+ctrl	CKAP5	CKAP5	NA	False
CLASRP+ctrl	CLASRP	CLASRP	NA	False
CLNS1A+ctrl	CLNS1A	CLNS1A	NA	False
CLOCK+ctrl	CLOCK	CLOCK	NA	False
CLP1+ctrl	CLP1	CLP1	NA	False
CLSPN+ctrl	CLSPN	CLSPN	NA	False
CLTC+ctrl	CLTC	CLTC	NA	False
CMTR1+ctrl	CMTR1	CMTR1	NA	False
CNIH4+ctrl	CNIH4	CNIH4	NA	False
CNOT1+ctrl	CNOT1	CNOT1	NA	False
CNOT10+ctrl	CNOT10	CNOT10	NA	False
CNOT11+ctrl	CNOT11	CNOT11	NA	False
CNOT2+ctrl	CNOT2	CNOT2	NA	False
CNOT3+ctrl	CNOT3	CNOT3	NA	False
CNOT9+ctrl	CNOT9	CNOT9	NA	False
COASY+ctrl	COASY	COASY	NA	False
COG1+ctrl	COG1	COG1	NA	False
COG2+ctrl	COG2	COG2	NA	False
COG3+ctrl	COG3	COG3	NA	False
COG4+ctrl	COG4	COG4	NA	False
COG6+ctrl	COG6	COG6	NA	False
COMTD1+ctrl	COMTD1	COMTD1	NA	False
COPB1+ctrl	COPB1	COPB1	NA	False
COPB2+ctrl	COPB2	COPB2	NA	False
COPS2+ctrl	COPS2	COPS2	NA	False
COPS3+ctrl	COPS3	COPS3	NA	False
COPS4+ctrl	COPS4	COPS4	NA	False
COPS5+ctrl	COPS5	COPS5	NA	False
COPS6+ctrl	COPS6	COPS6	NA	False
COPS8+ctrl	COPS8	COPS8	NA	False
COPZ1+ctrl	COPZ1	COPZ1	NA	False
COQ4+ctrl	COQ4	COQ4	NA	False
COTL1+ctrl	COTL1	COTL1	NA	False
COX11+ctrl	COX11	COX11	NA	False
COX15+ctrl	COX15	COX15	NA	False
COX17+ctrl	COX17	COX17	NA	False
COX7C+ctrl	COX7C	COX7C	NA	False
CPEB1+ctrl	CPEB1	CPEB1	NA	False
CPNE1+ctrl	CPNE1	CPNE1	NA	False
CPNE7+ctrl	CPNE7	CPNE7	NA	False
CPSF1+ctrl	CPSF1	CPSF1	NA	False
CPSF3+ctrl	CPSF3	CPSF3	NA	False
CPSF4+ctrl	CPSF4	CPSF4	NA	False
CPSF6+ctrl	CPSF6	CPSF6	NA	False
CRCP+ctrl	CRCP	CRCP	NA	False
CRKL+ctrl	CRKL	CRKL	NA	False
CRNKL1+ctrl	CRNKL1	CRNKL1	NA	False
CS+ctrl	CS	CS	NA	False
CSDE1+ctrl	CSDE1	CSDE1	NA	False
CSE1L+ctrl	CSE1L	CSE1L	NA	False
CSNK1A1+ctrl	CSNK1A1	CSNK1A1	NA	False
CSNK2B+ctrl	CSNK2B	CSNK2B	NA	False
CSTF1+ctrl	CSTF1	CSTF1	NA	False
CSTF3+ctrl	CSTF3	CSTF3	NA	False
CTDP1+ctrl	CTDP1	CTDP1	NA	False
CTNNBL1+ctrl	CTNNBL1	CTNNBL1	NA	False
CTPS1+ctrl	CTPS1	CTPS1	NA	False
CTR9+ctrl	CTR9	CTR9	NA	False
CTU2+ctrl	CTU2	CTU2	NA	False
CUL1+ctrl	CUL1	CUL1	NA	False
CUL2+ctrl	CUL2	CUL2	NA	False
CUL3+ctrl	CUL3	CUL3	NA	False
CUL7+ctrl	CUL7	CUL7	NA	False
CWC15+ctrl	CWC15	CWC15	NA	False
CWC22+ctrl	CWC22	CWC22	NA	False
CWC25+ctrl	CWC25	CWC25	NA	False
CWF19L2+ctrl	CWF19L2	CWF19L2	NA	False
CXXC1+ctrl	CXXC1	CXXC1	NA	False
CYC1+ctrl	CYC1	CYC1	NA	False
CYCS+ctrl	CYCS	CYCS	NA	False
CYFIP1+ctrl	CYFIP1	CYFIP1	NA	False
CYREN+ctrl	CYREN	CYREN	NA	False
DAD1+ctrl	DAD1	DAD1	NA	False
DAP3+ctrl	DAP3	DAP3	NA	False
DARS+ctrl	DARS	DARS	NA	False
DAXX+ctrl	DAXX	DAXX	NA	False
DBR1+ctrl	DBR1	DBR1	NA	False
DCTN2+ctrl	DCTN2	DCTN2	NA	False
DCTN3+ctrl	DCTN3	DCTN3	NA	False
DCTN4+ctrl	DCTN4	DCTN4	NA	False
DCTN6+ctrl	DCTN6	DCTN6	NA	False
DCUN1D5+ctrl	DCUN1D5	DCUN1D5	NA	False
DDB1+ctrl	DDB1	DDB1	NA	False
