Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	library_modality	lane	sample_index	pool
SRR19331382	2022-05-20 12:30:37	2022-05-20 12:28:42	9572589	1206146214	9572589	126	337		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR019/19331/SRR19331382/SRR19331382.lite.1	SRX15390833	KD6_seq1_essential_sgRNA_lane_8_S8_L002	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	FB66FDE4774E9D513755E981FF4C3E12	C472E5FBDCAE7483037417587C4480D0	sgRNA	8	S8	UNKNOWN
SRR19330502	2022-05-20 11:50:36	2022-05-20 11:48:58	6160488	776221488	6160488	126	215		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19330/SRR19330502/SRR19330502.lite.1	SRX15390225	KD6_seq1_essential_sgRNA_lane_48_S48_L001	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	C88348FFA16DD443A38294B3E5154BB5	FD69027F689B174F5F54A65934597193	sgRNA	48	S48	UNKNOWN
SRR19330503	2022-05-20 11:50:36	2022-05-20 11:48:50	5964115	751478490	5964115	126	209		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR019/19330/SRR19330503/SRR19330503.lite.1	SRX15390224	KD6_seq1_essential_sgRNA_lane_48_S48_L004	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	C0D3372913CEB831C553C863E8D53F72	41B3A8F997F69FA33E37E3DCD3978F43	sgRNA	48	S48	UNKNOWN
SRR19330504	2022-05-20 12:05:47	2022-05-20 12:01:27	47777159	6019922034	47777159	126	1799		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR019/19330/SRR19330504/SRR19330504.lite.1	SRX15390223	KD6_seq1_essential_mRNA_lane_48_S72_L004	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	E072CF08BE5986B5B4C0A757D5A2CCEA	217D307C86F22C986A57758E926C520E	mRNA	48	S72	UNKNOWN
SRR19330505	2022-05-20 12:15:51	2022-05-20 12:03:19	48264109	6081277734	48264109	126	1786		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19330/SRR19330505/SRR19330505.lite.1	SRX15390222	KD6_seq1_essential_mRNA_lane_48_S72_L001	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	9E09775C8E8407BE7412718AC1C50764	33D82E84AC2D5FA0DC30718CD67CD969	mRNA	48	S72	UNKNOWN
SRR19330506	2022-05-20 11:50:36	2022-05-20 11:49:02	5888012	741889512	5888012	126	209		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19330/SRR19330506/SRR19330506.lite.1	SRX15390221	KD6_seq1_essential_sgRNA_lane_5_S5_L003	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	FB1B4874F9674F7808822AF425663B62	2810FB7563E0774FAD9BD52FF5FAD52F	sgRNA	5	S5	UNKNOWN
SRR19330507	2022-05-20 12:05:47	2022-05-20 12:01:59	47820354	6025364604	47820354	126	1800		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR019/19330/SRR19330507/SRR19330507.lite.1	SRX15390220	KD6_seq1_essential_mRNA_lane_48_S72_L003	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	1C882775573F6AF3F78432DAAD01D0FF	5678B7F227FE3BA89CE9FE55A901C1EA	mRNA	48	S72	UNKNOWN
SRR19330508	2022-05-20 12:17:42	2022-05-20 12:06:03	47654470	6004463220	47654470	126	1784		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR019/19330/SRR19330508/SRR19330508.lite.1	SRX15390219	KD6_seq1_essential_mRNA_lane_48_S72_L002	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	95D4C9B53AAD73260C6681CF7FEEA425	96105FB97EB90ABC0A38AAAB0E648163	mRNA	48	S72	UNKNOWN
SRR19330509	2022-05-20 13:31:37	2022-05-20 12:26:48	69679568	8779625568	69679568	126	2651		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR019/19330/SRR19330509/SRR19330509.lite.1	SRX15390218	KD6_seq1_essential_mRNA_lane_48_S96_L003	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	CDCAC51B9E2FBE8D1AC6FC697A3A3210	19FADB2B6251981C1EC7A6DEF9A95003	mRNA	48	S96	UNKNOWN
SRR19330510	2022-05-20 12:38:34	2022-05-20 12:23:50	69699400	8782124400	69699400	126	2607		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR019/19330/SRR19330510/SRR19330510.lite.1	SRX15390217	KD6_seq1_essential_mRNA_lane_48_S96_L002	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	54FC65E41FE2531CC007B902104FD420	176F224F7D2645FB979A5DCBB6E1DBF9	mRNA	48	S96	UNKNOWN
