perturbation,pearson_delta,rmse_delta,UER_at_50,sign_flip_rate
AHR+KLF1,0.98410964012146,0.07584813237190247,0.0,0.0
ATL1+ctrl,0.9889250993728638,0.05985265225172043,0.0,0.0
BAK1+ctrl,0.9984552264213562,0.02250799350440502,0.0,0.0
BCL2L11+BAK1,0.9968835115432739,0.03245319798588753,0.0,0.0
BCL2L11+TGFBR2,0.9977434873580933,0.028150152415037155,0.0,0.0
BPGM+ctrl,0.9958228468894958,0.03708052262663841,0.0,0.0
C19orf26+ctrl,0.9921519160270691,0.05471115931868553,0.0,0.0
CBL+TGFBR2,0.9945225715637207,0.04378945380449295,0.0,0.0
CBL+UBASH3A,0.9907180666923523,0.057534728199243546,0.0,0.0
CBL+UBASH3B,0.9890862107276917,0.06226818636059761,0.0,0.0
CDKN1C+CDKN1B,0.990185558795929,0.05843174830079079,0.0,0.0
CEBPB+CEBPA,0.9675109386444092,0.12689568102359772,0.0,0.0
CEBPB+ctrl,0.9895136952400208,0.06237023323774338,0.0,0.0
CEBPE+SPI1,0.9700477719306946,0.11009077727794647,0.0,0.0
CLDN6+ctrl,0.9922698140144348,0.05388893932104111,0.0,0.0
COL2A1+ctrl,0.987430989742279,0.06465557962656021,0.0,0.0
DUSP9+KLF1,0.987598180770874,0.0674159824848175,0.0,0.0
DUSP9+ctrl,0.9911881685256958,0.054708387702703476,0.0,0.0
ETS2+CEBPE,0.9888761639595032,0.06638585031032562,0.0,0.0
ETS2+CNN1,0.9958768486976624,0.03700828179717064,0.0,0.0
FOSB+CEBPB,0.9757700562477112,0.09581823647022247,0.0,0.0
FOSB+ctrl,0.994519829750061,0.04494595527648926,0.0,0.0
FOXA1+HOXB9,0.9878470301628113,0.06742682307958603,0.0,0.0
HK2+ctrl,0.9970499277114868,0.03240363299846649,0.0,0.0
HOXC13+ctrl,0.9906580448150635,0.05598694086074829,0.0,0.0
IGDCC3+ZBTB25,0.9883027076721191,0.06327960640192032,0.0,0.0
KIF2C+ctrl,0.997429370880127,0.029663799330592155,0.0,0.0
KLF1+CEBPA,0.9756936430931091,0.09960605949163437,0.0,0.0
KLF1+MAP2K6,0.9950811862945557,0.04130580276250839,0.0,0.0
KMT2A+ctrl,0.995729386806488,0.03942175582051277,0.0,0.0
MAML2+ctrl,0.9337614178657532,0.15835382044315338,0.0,0.0
MAP2K3+ELMSAN1,0.9930821061134338,0.048904113471508026,0.0,0.0
MAP4K3+ctrl,0.9981160759925842,0.025313492864370346,0.0,0.0
OSR2+ctrl,0.9934467673301697,0.047532372176647186,0.0,0.0
POU3F2+CBFA2T3,0.9907312393188477,0.05785023793578148,0.0,0.0
PRDM1+CBFA2T3,0.9804372191429138,0.0821855291724205,0.0,0.0
PTPN12+ZBTB25,0.9914420247077942,0.05617837607860565,0.0,0.0
PTPN13+ctrl,0.9951958656311035,0.03971268609166145,0.0,0.0
RUNX1T1+ctrl,0.9975667595863342,0.02808287926018238,0.0,0.0
S1PR2+ctrl,0.9923818111419678,0.05137548968195915,0.0,0.0
SET+CEBPE,0.981172502040863,0.0828666165471077,0.0,0.0
SET+ctrl,0.9865378737449646,0.06586965918540955,0.0,0.0
SGK1+ctrl,0.9932591915130615,0.051139820367097855,0.0,0.0
SLC4A1+ctrl,0.9848384857177734,0.07248785346746445,0.0,0.0
TP73+ctrl,0.9621596336364746,0.10978645086288452,0.0,0.0
UBASH3B+CNN1,0.9860818982124329,0.06939546018838882,0.0,0.0
ctrl+C19orf26,0.992289125919342,0.054310161620378494,0.0,0.0
ctrl+CDKN1A,0.9926685690879822,0.0507800430059433,0.0,0.0
ctrl+CDKN1B,0.992782473564148,0.05224286764860153,0.0,0.0
ctrl+CEBPA,0.9737930297851562,0.1115649938583374,0.0,0.0
ctrl+FOXA1,0.9965329170227051,0.03485488519072533,0.0,0.0
ctrl+HOXB9,0.9947673082351685,0.04367845878005028,0.0,0.0
ctrl+IGDCC3,0.995378851890564,0.03987003117799759,0.0,0.0
ctrl+RUNX1T1,0.9975077509880066,0.028560064733028412,0.0,0.0
ctrl+UBASH3B,0.9982374310493469,0.02431310899555683,0.0,0.0
