split,train_cell_line,test_cell_line,model,metric_space,n_test_targets,pearson_delta,pearson_ci_low,pearson_ci_high,retrieval_top1,retrieval_top5,retrieval_mrr,uer50,sign_flip_rate,run_status,bns_status,source
R-L4-K2R,K562,RPE1,B0_no_change,audit_delta,737,,,,,,,0.5588059701492538,1.0,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,UNVERIFIED,replogle_summary.csv
R-L4-K2R,K562,RPE1,B1_global_perturbed_mean,audit_delta,737,-0.000452987608194,-0.001352891225418,0.0004530846261722,0.0013568521031207,0.0067842605156037,0.0097428518720784,0.3922116689280868,0.5763636363636363,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,UNVERIFIED,replogle_summary.csv
R-L4-K2R,K562,RPE1,B2_context_matched_perturbed_mean,audit_delta,737,-0.000452987608194,-0.001352891225418,0.0004530846261722,0.0013568521031207,0.0067842605156037,0.0097428518720784,0.3922116689280868,0.5763636363636363,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,UNVERIFIED,replogle_summary.csv
R-L4-K2R,K562,RPE1,B4_pca_ridge,audit_delta,737,-0.0002504347719171,-0.0011912627156157,0.0006733355755026,0.0013568521031207,0.0067842605156037,0.0096808020474008,0.4115332428765264,0.5753215739484396,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,UNVERIFIED,replogle_summary.csv
R-L4-K2R,K562,RPE1,B5_mean_effect,audit_delta,737,-0.000452987608194,-0.001352891225418,0.0004530846261722,0.0013568521031207,0.0067842605156037,0.0097428518720784,0.3922116689280868,0.5763636363636363,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,UNVERIFIED,replogle_summary.csv
R-L4-K2R,K562,RPE1,FP1_perturbation_blind_mean_effect,audit_delta,737,-0.000452987608194,-0.001352891225418,0.0004530846261722,0.0013568521031207,0.0067842605156037,0.0097428518720784,0.3922116689280868,0.5763636363636363,COMPLETED_FALSIFICATION_PROBE,UNVERIFIED,replogle_summary.csv
R-L4-K2R,K562,RPE1,FP3_label_shuffled_mean_effect,audit_delta,737,-8.611684444573995e-05,-0.0013893237866749,0.0011494681450594,0.0040705563093622,0.0067842605156037,0.0114481471271989,0.4893080054274085,0.5059972862957937,COMPLETED_FALSIFICATION_PROBE,UNVERIFIED,replogle_summary.csv
R-L4-R2K,RPE1,K562,B0_no_change,audit_delta,737,,,,,,,0.5239620081411126,1.0,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,UNVERIFIED,replogle_summary.csv
R-L4-R2K,RPE1,K562,B1_global_perturbed_mean,audit_delta,737,-0.0001329944257054,-0.0009684615174213,0.0006796521625016,0.0013568521031207,0.0067842605156037,0.0097428518720784,0.4866214382632293,0.4825370627693951,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,UNVERIFIED,replogle_summary.csv
R-L4-R2K,RPE1,K562,B2_context_matched_perturbed_mean,audit_delta,737,-0.0001329944257054,-0.0009684615174213,0.0006796521625016,0.0013568521031207,0.0067842605156037,0.0097428518720784,0.4866214382632293,0.4825370627693951,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,UNVERIFIED,replogle_summary.csv
R-L4-R2K,RPE1,K562,B4_pca_ridge,audit_delta,737,-6.16564126003127e-05,-0.0008885194989587,0.0007591301925339,0.0013568521031207,0.0067842605156037,0.0096885479928901,0.4883310719131615,0.4809035218213423,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,UNVERIFIED,replogle_summary.csv
R-L4-R2K,RPE1,K562,B5_mean_effect,audit_delta,737,-0.0001329944257054,-0.0009684615174213,0.0006796521625016,0.0013568521031207,0.0067842605156037,0.0097428518720784,0.4866214382632293,0.4825370627693951,COMPLETED_BASELINE_UNVERIFIED_UPPER_BOUND,UNVERIFIED,replogle_summary.csv
R-L4-R2K,RPE1,K562,FP1_perturbation_blind_mean_effect,audit_delta,737,-0.0001329944257054,-0.0009684615174213,0.0006796521625016,0.0013568521031207,0.0067842605156037,0.0097428518720784,0.4866214382632293,0.4825370627693951,COMPLETED_FALSIFICATION_PROBE,UNVERIFIED,replogle_summary.csv
R-L4-R2K,RPE1,K562,FP3_label_shuffled_mean_effect,audit_delta,737,-0.0011965504542923,-0.0022193049539223,-0.0001026718484215,0.0027137042062415,0.005427408412483,0.0090002021668234,0.4914518317503392,0.4858641513135309,COMPLETED_FALSIFICATION_PROBE,UNVERIFIED,replogle_summary.csv
R-L4-K2R,K562,RPE1,GEARS_cell_gears_0.1.2,target_control_audit_delta,732,0.006322623069253,0.0004843170014928905,0.012309821796046228,0.0027322404371584,0.0095628415300546,0.012609353391484663,0.38467213114754106,0.5520437158469945,COMPLETED_GEARS_EVALUATION,UNVERIFIED,gears_rl4_summary.csv
R-L4-R2K,RPE1,K562,GEARS_cell_gears_0.1.2,target_control_audit_delta,732,0.0021668034063364,0.0007416612289265769,0.0036459692706776307,0.0,0.0068306010928961,0.008895920815967578,0.4666120218579235,0.496194241446661,COMPLETED_GEARS_EVALUATION,UNVERIFIED,gears_rl4_summary.csv
