run_id	metric_space	candidate_universe	perturbation	n_candidates	rank	top1	top5	mrr_contribution	top_match	top_similarity	tie_handling	analysis_status
S3_replogle_k562_rl1	state_audit_delta_common_candidate	15 matched STATE K562 targets shared by S3 and S4	ARCN1	15	1	1	1	1.0	ARCN1	0.494965996733387	descending cosine score; Python stable sort preserves input candidate order for exact ties	EXPLORATORY_FROM_FROZEN_OUTPUTS
S3_replogle_k562_rl1	state_audit_delta_common_candidate	15 matched STATE K562 targets shared by S3 and S4	ATP6V1A	15	12	0	0	0.08333333333333333	RPL5	0.4302650961974926	descending cosine score; Python stable sort preserves input candidate order for exact ties	EXPLORATORY_FROM_FROZEN_OUTPUTS
S3_replogle_k562_rl1	state_audit_delta_common_candidate	15 matched STATE K562 targets shared by S3 and S4	CENPJ	15	6	0	0	0.16666666666666666	RPL5	0.49906757604779334	descending cosine score; Python stable sort preserves input candidate order for exact ties	EXPLORATORY_FROM_FROZEN_OUTPUTS
S3_replogle_k562_rl1	state_audit_delta_common_candidate	15 matched STATE K562 targets shared by S3 and S4	CPSF1	15	10	0	0	0.1	ARCN1	0.41024571741455984	descending cosine score; Python stable sort preserves input candidate order for exact ties	EXPLORATORY_FROM_FROZEN_OUTPUTS
S3_replogle_k562_rl1	state_audit_delta_common_candidate	15 matched STATE K562 targets shared by S3 and S4	ERCC2	15	12	0	0	0.08333333333333333	RPL5	0.43644281817828207	descending cosine score; Python stable sort preserves input candidate order for exact ties	EXPLORATORY_FROM_FROZEN_OUTPUTS
S3_replogle_k562_rl1	state_audit_delta_common_candidate	15 matched STATE K562 targets shared by S3 and S4	MRPL49	15	9	0	0	0.1111111111111111	RPL30	0.3132598388588767	descending cosine score; Python stable sort preserves input candidate order for exact ties	EXPLORATORY_FROM_FROZEN_OUTPUTS
S3_replogle_k562_rl1	state_audit_delta_common_candidate	15 matched STATE K562 targets shared by S3 and S4	NELFB	15	7	0	0	0.14285714285714285	ARCN1	0.5320990840704881	descending cosine score; Python stable sort preserves input candidate order for exact ties	EXPLORATORY_FROM_FROZEN_OUTPUTS
S3_replogle_k562_rl1	state_audit_delta_common_candidate	15 matched STATE K562 targets shared by S3 and S4	OGT	15	15	0	0	0.06666666666666667	ARCN1	0.4009103718905112	descending cosine score; Python stable sort preserves input candidate order for exact ties	EXPLORATORY_FROM_FROZEN_OUTPUTS
S3_replogle_k562_rl1	state_audit_delta_common_candidate	15 matched STATE K562 targets shared by S3 and S4	PPP4C	15	9	0	0	0.1111111111111111	RPL5	0.5596809398673415	descending cosine score; Python stable sort preserves input candidate order for exact ties	EXPLORATORY_FROM_FROZEN_OUTPUTS
S3_replogle_k562_rl1	state_audit_delta_common_candidate	15 matched STATE K562 targets shared by S3 and S4	PRPF4	15	5	0	1	0.2	RPL5	0.4637600115974886	descending cosine score; Python stable sort preserves input candidate order for exact ties	EXPLORATORY_FROM_FROZEN_OUTPUTS
