omitted_target	n_remaining	pearson_drop	spearman_drop	cosine_drop	uer50_difference	sign_flip_difference	analysis_status
ARCN1	14	0.11098690344286818	0.06489647107857968	0.10183844821793689	-0.021428571428571408	-0.04714285714285715	EXPLORATORY_LEAVE_ONE_TARGET_OUT_FROM_FROZEN_OUTPUTS
ATP6V1A	14	0.11646030484033484	0.07077689071676041	0.10193363683564322	-0.024285714285714244	-0.04857142857142854	EXPLORATORY_LEAVE_ONE_TARGET_OUT_FROM_FROZEN_OUTPUTS
CENPJ	14	0.10969462471881086	0.06501701558382608	0.09840820942606246	-0.025714285714285717	-0.05485714285714288	EXPLORATORY_LEAVE_ONE_TARGET_OUT_FROM_FROZEN_OUTPUTS
CPSF1	14	0.1280497622543148	0.08580198151786667	0.11971858569553925	-0.032857142857142835	-0.0674285714285714	EXPLORATORY_LEAVE_ONE_TARGET_OUT_FROM_FROZEN_OUTPUTS
ERCC2	14	0.12285152676382238	0.07408343441252321	0.11109950287001477	-0.01999999999999999	-0.06485714285714284	EXPLORATORY_LEAVE_ONE_TARGET_OUT_FROM_FROZEN_OUTPUTS
MRPL49	14	0.12302734822567021	0.07263568284823024	0.10989327941622054	-0.03428571428571428	-0.054285714285714215	EXPLORATORY_LEAVE_ONE_TARGET_OUT_FROM_FROZEN_OUTPUTS
NELFB	14	0.11204498168081048	0.0716331894848477	0.10469676341329304	-0.027142857142857135	-0.06285714285714283	EXPLORATORY_LEAVE_ONE_TARGET_OUT_FROM_FROZEN_OUTPUTS
OGT	14	0.13024686117257395	0.08009106399902616	0.1174901468413217	-0.038571428571428534	-0.06114285714285711	EXPLORATORY_LEAVE_ONE_TARGET_OUT_FROM_FROZEN_OUTPUTS
PPP4C	14	0.10797051193990878	0.0653858266407863	0.09443618995802744	-0.02571428571428569	-0.04571428571428565	EXPLORATORY_LEAVE_ONE_TARGET_OUT_FROM_FROZEN_OUTPUTS
PRPF4	14	0.1143756467582924	0.07442557996844135	0.10770323446818761	-0.03285714285714286	-0.05885714285714283	EXPLORATORY_LEAVE_ONE_TARGET_OUT_FROM_FROZEN_OUTPUTS
RPL30	14	0.11145533208868336	0.06638516991985421	0.09833008902413506	-0.022857142857142854	-0.05228571428571427	EXPLORATORY_LEAVE_ONE_TARGET_OUT_FROM_FROZEN_OUTPUTS
RPL5	14	0.1108933837552156	0.06182430799977526	0.09562593698501587	-0.035714285714285726	-0.049142857142857155	EXPLORATORY_LEAVE_ONE_TARGET_OUT_FROM_FROZEN_OUTPUTS
TUT1	14	0.11603715390499147	0.07207208597731524	0.10644154037748066	-0.027142857142857135	-0.06	EXPLORATORY_LEAVE_ONE_TARGET_OUT_FROM_FROZEN_OUTPUTS
UTP15	14	0.11851288817290748	0.06935072603203524	0.10442578366824559	-0.02428571428571427	-0.055142857142857105	EXPLORATORY_LEAVE_ONE_TARGET_OUT_FROM_FROZEN_OUTPUTS
ZNF207	14	0.11169435948665654	0.06874938040852546	0.09974368555205207	-0.027142857142857135	-0.053714285714285714	EXPLORATORY_LEAVE_ONE_TARGET_OUT_FROM_FROZEN_OUTPUTS
