run_id,space,perturbation,n_pred_cells,n_real_cells,pearson_delta,spearman_delta,rmse_delta,mae_delta,cosine_delta,uer20,uer50,uer100,sign_flip_rate,null_source,null_status,bns_status
S1_norman_l1,audit_delta,AHR+KLF1,412,412,0.17706286907196045,0.12090629712470263,0.07039471715688705,0.01957644522190094,0.1770409345626831,0.05,0.02,0.01,0.4150197628458498,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,ATL1,305,305,0.7597562074661255,0.25095163349126315,0.050817571580410004,0.016275756061077118,0.7585604786872864,0.0,0.0,0.0,0.12648221343873517,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,BAK1,534,534,0.02383122593164444,0.019432780135854685,0.03819918632507324,0.012586476281285286,0.023788392543792725,0.0,0.0,0.01,0.48221343873517786,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,BAK1+BCL2L11,153,153,0.07228882610797882,0.027532204718101354,0.04161006584763527,0.01445377804338932,0.07226908206939697,0.0,0.0,0.0,0.5098814229249012,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,BCL2L11+TGFBR2,382,382,0.36362576484680176,0.07109057161619753,0.03962026908993721,0.014010051265358925,0.3625655174255371,0.0,0.0,0.01,0.3952569169960474,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,BPGM,393,393,0.5728229284286499,0.2233060591051681,0.043283894658088684,0.013292436487972736,0.5718162059783936,0.0,0.0,0.0,0.20948616600790515,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,C19ORF26,750,750,0.5938642024993896,0.20152711908697488,0.026026135310530663,0.00948699563741684,0.5941760540008545,0.0,0.0,0.0,0.1857707509881423,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CBFA2T3+POU3F2,202,202,0.6237343549728394,0.26489556607643855,0.05533704161643982,0.019136816263198853,0.6214420795440674,0.0,0.0,0.0,0.15810276679841898,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CBFA2T3+PRDM1,109,109,0.7389589548110962,0.30887431046569086,0.09085864573717117,0.03021431900560856,0.7333526611328125,0.0,0.0,0.0,0.09090909090909091,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CBL+TGFBR2,156,156,0.5660301446914673,0.23180474125138456,0.050824396312236786,0.014431565999984741,0.5642272233963013,0.0,0.0,0.0,0.19367588932806323,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CBL+UBASH3A,50,50,0.5769582986831665,0.32566675091041786,0.06290454417467117,0.02012394554913044,0.5768343806266785,0.0,0.0,0.0,0.20948616600790515,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CBL+UBASH3B,326,326,0.7751938700675964,0.2817105213967273,0.07750824838876724,0.02118757553398609,0.7740371227264404,0.0,0.0,0.0,0.13043478260869565,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CDKN1A,131,131,0.5709139108657837,0.21443042360538572,0.05124354735016823,0.01696864515542984,0.5706192851066589,0.0,0.0,0.0,0.19367588932806323,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CDKN1B,145,145,0.7306060791015625,0.2700355086854537,0.02969002164900303,0.011415858753025532,0.7305673956871033,0.0,0.0,0.0,0.11067193675889328,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CDKN1B+CDKN1C,79,79,0.5966160297393799,0.26376806081012627,0.058562882244586945,0.01955484226346016,0.5967102646827698,0.0,0.0,0.0,0.1541501976284585,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CEBPA,258,258,0.20463714003562927,0.13440042967608992,0.16934789717197418,0.05473313853144646,0.20518696308135986,0.0,0.0,0.0,0.3715415019762846,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CEBPA+CEBPB,75,75,0.18435999751091003,0.12679233237137838,0.17774401605129242,0.05830749124288559,0.166293203830719,0.0,0.0,0.0,0.40711462450592883,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CEBPA+KLF1,308,308,0.4010182023048401,0.2431422953055928,0.1295129805803299,0.04025539383292198,0.4046823978424072,0.0,0.0,0.0,0.22134387351778656,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CEBPB,240,240,0.44570422172546387,0.28123590594720405,0.07641973346471786,0.023681096732616425,0.44697654247283936,0.0,0.02,0.01,0.2015810276679842,median_abs_audit_delta,sensitivity_only,UNVERIFIED
