dataset,model,split,sensitivity,status,n_test_perturbations,UER_at_50_gemgroup_null_q95,notes
Norman2019_GEARS_processed_mirror,B0_no_change,L1,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,57,0.7059649122807018,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L1,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,57,0.135438596491228,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,B2_context_matched_perturbed_mean,L1,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,57,0.135438596491228,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,B3_additive_seen_component,L1,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,57,0.063859649122807,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,B4_pca_ridge,L1,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,57,0.1157894736842105,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,B5_mean_effect,L1,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,57,0.135438596491228,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,FP1_perturbation_blind_mean_effect,L1,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,57,0.135438596491228,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,FP2_cell_state_blind_additive,L1,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,57,0.063859649122807,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,57,0.191578947368421,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L1,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_GEARS_EVALUATION,55,0.1716363636363636,"Control-control gemgroup null envelope; GEARS raw predictions and truth converted to audit-delta space via audit control mean; GEARS-run test vocabulary; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,B0_no_change,L2,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,33,0.7084848484848485,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L2,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,33,0.2290909090909091,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,B2_context_matched_perturbed_mean,L2,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,33,0.2290909090909091,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,B3_additive_seen_component,L2,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,33,0.2290909090909091,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,B4_pca_ridge,L2,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,33,0.2054545454545455,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,B5_mean_effect,L2,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,33,0.2290909090909091,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,FP1_perturbation_blind_mean_effect,L2,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,33,0.2290909090909091,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,FP2_cell_state_blind_additive,L2,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,33,0.2290909090909091,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L2,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,33,0.2418181818181818,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,GEARS_cell_gears_0.1.2,L2,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_GEARS_EVALUATION,40,0.262,"Control-control gemgroup null envelope; GEARS raw predictions and truth converted to audit-delta space via audit control mean; GEARS-run test vocabulary; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,B0_no_change,L3,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,25,0.6983999999999999,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,B1_global_perturbed_mean,L3,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,25,0.1744,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
Norman2019_GEARS_processed_mirror,B2_context_matched_perturbed_mean,L3,geo_gemgroup_control_null_q95,COMPLETED_SENSITIVITY_PARTIAL_GEO_LINK,25,0.1744,"Control-control gemgroup null envelope; partial GEO metadata link, not replicate-derived BNS upper bound."
