dataset	model	split	n_ranked_perturbations	n_confusions	n_confusions_with_shared_gene_group	confusion_shared_gene_group_fraction	annotation_source	status
Norman2019_GEARS_processed_mirror	B1_global_perturbed_mean	L0	283	282	6	0.0212765957446808	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	B1_global_perturbed_mean	L1	57	56	12	0.2142857142857142	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	B1_global_perturbed_mean	L2	33	32	0	0.0	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	B2_context_matched_perturbed_mean	L0	283	282	6	0.0212765957446808	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	B2_context_matched_perturbed_mean	L1	57	56	12	0.2142857142857142	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	B2_context_matched_perturbed_mean	L2	33	32	0	0.0	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	B3_additive_seen_component	L0	283	139	122	0.8776978417266187	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	B3_additive_seen_component	L1	57	24	11	0.4583333333333333	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	B3_additive_seen_component	L2	33	32	0	0.0	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	B4_pca_ridge	L0	283	251	141	0.5617529880478087	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	B4_pca_ridge	L1	57	42	12	0.2857142857142857	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	B4_pca_ridge	L2	33	32	5	0.15625	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	B5_mean_effect	L0	283	282	6	0.0212765957446808	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	B5_mean_effect	L1	57	56	12	0.2142857142857142	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	B5_mean_effect	L2	33	32	0	0.0	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	FP1_perturbation_blind_mean_effect	L1	57	56	12	0.2142857142857142	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	FP1_perturbation_blind_mean_effect	L2	33	32	0	0.0	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	FP2_cell_state_blind_additive	L1	57	24	11	0.4583333333333333	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	FP2_cell_state_blind_additive	L2	33	32	0	0.0	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	FP3_label_shuffled_mean_effect	L1	57	56	3	0.0535714285714285	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
Norman2019_GEARS_processed_mirror	FP3_label_shuffled_mean_effect	L2	33	31	3	0.0967741935483871	HGNC gene_group	COMPLETED_HGNC_FAMILY_CONFUSION_AUDIT
